customer_id,first_name,last_name,email,phone,segment,total_orders,total_spent,average_order_value,customer_lifetime_value,created_at
1,Priya,Kumar,priya.kumar1@example.in,+919846913810,HIGH_VALUE,7,23163.36,3309.05,60352.26,2026-04-29 00:37:04
2,Priya,Nair,priya.nair2@example.in,+919821668732,NEW,0,0.0,0.0,1624.07,2025-12-05 00:37:04
3,Rajesh,Kumar,rajesh.kumar3@example.in,+919822575562,HIGH_VALUE,7,11689.71,1669.96,19375.03,2025-10-24 00:37:04
4,Meera,Kumar,meera.kumar4@example.in,+919885329037,HIGH_VALUE,13,65108.71,5008.36,139145.0,2026-03-19 00:37:04
5,Sanya,Reddy,sanya.reddy5@example.in,+919847338124,VIP,5,38871.62,7774.32,90561.21,2025-12-05 00:37:04
6,Neha,Singh,neha.singh6@example.in,+919830868105,HIGH_VALUE,10,18636.87,1863.69,29024.73,2026-05-18 00:37:04
7,Priya,Joshi,priya.joshi7@example.in,+919822981052,STANDARD,11,48792.41,4435.67,88114.13,2025-09-03 00:37:04
8,Vikram,Kumar,vikram.kumar8@example.in,+919871662963,NEW,0,0.0,0.0,1557.98,2026-05-07 00:37:04
9,Rohan,Sharma,rohan.sharma9@example.in,+919884093639,STANDARD,11,29601.93,2691.08,52445.12,2025-09-17 00:37:04
10,Ananya,Sharma,ananya.sharma10@example.in,+919816150444,HIGH_VALUE,9,57499.38,6388.82,86981.64,2026-05-30 00:37:04
11,Ananya,Sharma,ananya.sharma11@example.in,+919861019678,STANDARD,14,69203.53,4943.11,90653.31,2025-08-18 00:37:04
12,Neha,Patel,neha.patel12@example.in,+919859684848,STANDARD,6,10673.59,1778.93,18506.48,2026-02-23 00:37:04
13,Priya,Reddy,priya.reddy13@example.in,+919895225343,HIGH_VALUE,7,54195.68,7742.24,124208.41,2026-04-17 00:37:04
14,Sanya,Joshi,sanya.joshi14@example.in,+919846231783,NEW,0,0.0,0.0,3736.93,2026-03-19 00:37:04
15,Neha,Kumar,neha.kumar15@example.in,+919840742311,VIP,10,38011.44,3801.14,54624.94,2025-12-16 00:37:04
16,Vikram,Sharma,vikram.sharma16@example.in,+919838317637,NEW,0,0.0,0.0,4637.28,2026-01-29 00:37:04
17,Ananya,Gupta,ananya.gupta17@example.in,+919863100814,PRICE_SENSITIVE,4,9763.4,2440.85,22371.93,2026-02-24 00:37:04
18,Aarav,Deshmukh,aarav.deshmukh18@example.in,+919885345555,NEW,0,0.0,0.0,3186.84,2026-02-25 00:37:04
19,Meera,Joshi,meera.joshi19@example.in,+919888320463,PRICE_SENSITIVE,11,20750.49,1886.41,55156.29,2026-03-19 00:37:04
20,Aarav,Nair,aarav.nair20@example.in,+919876238574,VIP,1,7546.24,7546.24,21225.45,2026-05-14 00:37:04
21,Aarav,Patel,aarav.patel21@example.in,+919866661351,NEW,0,0.0,0.0,1353.97,2026-06-07 00:37:04
22,Rohan,Joshi,rohan.joshi22@example.in,+919889978790,PRICE_SENSITIVE,8,15758.97,1969.87,22138.64,2025-09-29 00:37:04
23,Rajesh,Sharma,rajesh.sharma23@example.in,+919882070937,STANDARD,10,34150.8,3415.08,57342.73,2026-05-13 00:37:04
24,Vikram,Joshi,vikram.joshi24@example.in,+919831227574,PRICE_SENSITIVE,0,0.0,0.0,2123.74,2026-02-25 00:37:04
25,Karan,Patel,karan.patel25@example.in,+919878139880,VIP,9,41131.99,4570.22,61102.61,2025-08-16 00:37:04
26,Karan,Reddy,karan.reddy26@example.in,+919836697396,HIGH_VALUE,11,11650.43,1059.13,33016.44,2026-04-18 00:37:04
27,Karan,Nair,karan.nair27@example.in,+919810076758,NEW,0,0.0,0.0,1022.09,2026-01-25 00:37:04
28,Sanya,Kumar,sanya.kumar28@example.in,+919825014631,STANDARD,9,59543.65,6615.96,130083.93,2026-03-09 00:37:04
29,Rajesh,Deshmukh,rajesh.deshmukh29@example.in,+919886149359,VIP,2,12569.06,6284.53,18726.6,2025-11-03 00:37:04
30,Priya,Nair,priya.nair30@example.in,+919826879290,HIGH_VALUE,15,20535.27,1369.02,51176.8,2025-10-01 00:37:04
31,Aarav,Singh,aarav.singh31@example.in,+919880823176,NEW,0,0.0,0.0,1254.23,2025-12-05 00:37:04
32,Ananya,Nair,ananya.nair32@example.in,+919836998038,STANDARD,12,33988.41,2832.37,59072.72,2025-08-11 00:37:04
33,Neha,Gupta,neha.gupta33@example.in,+919879467853,PRICE_SENSITIVE,3,15845.04,5281.68,40178.21,2026-03-05 00:37:04
34,Ananya,Sharma,ananya.sharma34@example.in,+919855377076,VIP,7,9778.7,1396.96,24844.56,2025-09-11 00:37:04
35,Ananya,Kumar,ananya.kumar35@example.in,+919819528530,VIP,7,32967.05,4709.58,75577.12,2026-06-05 00:37:04
36,Rajesh,Verma,rajesh.verma36@example.in,+919819510312,NEW,0,0.0,0.0,2710.16,2026-03-10 00:37:04
37,Vikram,Gupta,vikram.gupta37@example.in,+919838754377,NEW,0,0.0,0.0,1431.57,2026-05-03 00:37:04
38,Meera,Reddy,meera.reddy38@example.in,+919873440831,HIGH_VALUE,15,11035.78,735.72,24630.64,2025-12-13 00:37:04
39,Ananya,Sharma,ananya.sharma39@example.in,+919823009833,PRICE_SENSITIVE,11,47457.08,4314.28,114937.26,2025-12-05 00:37:04
40,Rohan,Gupta,rohan.gupta40@example.in,+919817270733,VIP,1,3577.87,3577.87,9722.88,2025-12-15 00:37:04
41,Neha,Sharma,neha.sharma41@example.in,+919843374088,HIGH_VALUE,6,6464.1,1077.35,11836.68,2025-10-08 00:37:04
42,Sanya,Patel,sanya.patel42@example.in,+919866623995,HIGH_VALUE,8,59781.86,7472.73,138076.07,2025-11-15 00:37:04
43,Ananya,Sharma,ananya.sharma43@example.in,+919869476001,NEW,0,0.0,0.0,4214.69,2026-05-20 00:37:04
44,Rajesh,Nair,rajesh.nair44@example.in,+919811980765,VIP,7,13294.93,1899.28,34537.74,2026-04-15 00:37:04
45,Rohan,Gupta,rohan.gupta45@example.in,+919874606833,HIGH_VALUE,12,78669.61,6555.8,188319.25,2026-06-09 00:37:04
46,Aarav,Joshi,aarav.joshi46@example.in,+919810289289,PRICE_SENSITIVE,8,10603.12,1325.39,18574.04,2025-11-19 00:37:04
47,Vikram,Joshi,vikram.joshi47@example.in,+919884593961,PRICE_SENSITIVE,4,26540.44,6635.11,62573.76,2026-04-03 00:37:04
48,Vikram,Deshmukh,vikram.deshmukh48@example.in,+919817849494,NEW,0,0.0,0.0,2669.64,2025-10-05 00:37:04
49,Rajesh,Verma,rajesh.verma49@example.in,+919817672593,VIP,15,32487.13,2165.81,46397.32,2025-10-25 00:37:04
50,Karan,Patel,karan.patel50@example.in,+919817634247,NEW,0,0.0,0.0,2292.81,2026-05-29 00:37:04
51,Aarav,Sharma,aarav.sharma51@example.in,+919889864260,VIP,7,30736.51,4390.93,67429.18,2025-12-15 00:37:04
52,Priya,Reddy,priya.reddy52@example.in,+919843046464,NEW,0,0.0,0.0,4849.79,2025-09-08 00:37:04
53,Rajesh,Reddy,rajesh.reddy53@example.in,+919821003626,PRICE_SENSITIVE,10,23883.67,2388.37,46302.88,2026-02-26 00:37:04
54,Ananya,Verma,ananya.verma54@example.in,+919842035886,STANDARD,12,31635.64,2636.3,42918.06,2026-05-03 00:37:04
55,Vikram,Gupta,vikram.gupta55@example.in,+919852436584,VIP,0,0.0,0.0,1205.92,2025-11-17 00:37:04
56,Meera,Reddy,meera.reddy56@example.in,+919823419256,VIP,6,15539.09,2589.85,38952.87,2025-10-23 00:37:04
57,Vikram,Patel,vikram.patel57@example.in,+919856843172,VIP,7,11106.98,1586.71,25338.22,2026-01-01 00:37:04
58,Vikram,Patel,vikram.patel58@example.in,+919868812137,NEW,0,0.0,0.0,3688.54,2026-02-05 00:37:04
59,Meera,Nair,meera.nair59@example.in,+919811049999,NEW,0,0.0,0.0,1950.55,2026-02-06 00:37:04
60,Priya,Patel,priya.patel60@example.in,+919845496015,VIP,3,17884.87,5961.62,33542.14,2025-09-29 00:37:04
61,Aarav,Singh,aarav.singh61@example.in,+919847816686,NEW,0,0.0,0.0,3143.1,2026-03-24 00:37:04
